Year,FIPS,Name,Percentage of family or people whose have income in the last 12 months below poverty level,Median family income (dollars)
2006,12095,"Orange County, Florida",8.3,56498
2006,12097,"Osceola County, Florida",9.0,48856
2006,12099,"Palm Beach County, Florida",7.1,62603
2006,12101,"Pasco County, Florida",7.3,51010
2006,12103,"Pinellas County, Florida",8.2,55031
2006,12105,"Polk County, Florida",10.4,48000
2006,12107,"Putnam County, Florida",16.0,40125
2006,12109,"St. Johns County, Florida",6.2,74264
2006,12111,"St. Lucie County, Florida",10.6,52467
2006,12113,"Santa Rosa County, Florida",8.0,60492
2006,12115,"Sarasota County, Florida",6.0,59190
2006,12117,"Seminole County, Florida",7.1,65808
2006,12119,"Sumter County, Florida",8.1,45709
2006,12127,"Volusia County, Florida",8.3,49824
2006,13015,"Bartow County, Georgia",8.3,53093
2006,13021,"Bibb County, Georgia",13.2,50647
2006,13045,"Carroll County, Georgia",8.6,55692
2006,13051,"Chatham County, Georgia",12.4,50041
2006,13057,"Cherokee County, Georgia",6.0,76000
2006,13059,"Clarke County, Georgia",14.3,49875
2006,13063,"Clayton County, Georgia",11.4,48076
2006,13067,"Cobb County, Georgia",6.6,73280
2006,13073,"Columbia County, Georgia",2.6,71746
2006,13077,"Coweta County, Georgia",8.8,72272
2006,13089,"DeKalb County, Georgia",10.0,59877
2006,13095,"Dougherty County, Georgia",21.5,38556
2006,13097,"Douglas County, Georgia",8.2,62498
2006,13113,"Fayette County, Georgia",3.7,91258
2006,13115,"Floyd County, Georgia",14.0,44675
2006,13117,"Forsyth County, Georgia",4.2,89324
2006,13121,"Fulton County, Georgia",10.8,75957
2006,13127,"Glynn County, Georgia",11.8,60088
2006,13135,"Gwinnett County, Georgia",7.4,69530
2006,13139,"Hall County, Georgia",10.6,52536
2006,13151,"Henry County, Georgia",7.3,66133
2006,13153,"Houston County, Georgia",10.6,62527
2006,13185,"Lowndes County, Georgia",17.7,44872
2006,13215,"Muscogee County, Georgia",12.4,48831
2006,13217,"Newton County, Georgia",9.2,56529
2006,13223,"Paulding County, Georgia",7.0,63650
2006,13245,"Richmond County, Georgia",16.5,43808
2006,13247,"Rockdale County, Georgia",8.6,58403
2006,13297,"Walton County, Georgia",5.9,61148
2006,13313,"Whitfield County, Georgia",11.2,48972
2006,15001,"Hawaii County, Hawaii",11.5,61211
2006,15003,"Honolulu County, Hawaii",6.3,73457
2006,15009,"Maui County, Hawaii",7.1,70069
2006,16001,"Ada County, Idaho",5.6,64476
2006,16005,"Bannock County, Idaho",11.5,52124
2006,16019,"Bonneville County, Idaho",8.1,56548
2006,16027,"Canyon County, Idaho",10.4,45675
2006,16055,"Kootenai County, Idaho",9.2,49291
2006,16083,"Twin Falls County, Idaho",10.1,46330
2006,17001,"Adams County, Illinois",7.8,51229
2006,17019,"Champaign County, Illinois",8.5,59916
2006,17031,"Cook County, Illinois",11.8,60387
2006,17037,"DeKalb County, Illinois",6.1,67886
2006,17043,"DuPage County, Illinois",3.6,86218
2006,17089,"Kane County, Illinois",7.0,72101
2006,17091,"Kankakee County, Illinois",9.4,59027
2006,17093,"Kendall County, Illinois",4.0,77543
2006,17097,"Lake County, Illinois",4.0,86391
2006,17099,"LaSalle County, Illinois",8.7,55576
2006,17111,"McHenry County, Illinois",4.4,82225
2006,17113,"McLean County, Illinois",8.2,66775
2006,17115,"Macon County, Illinois",11.9,55317
2006,17119,"Madison County, Illinois",8.1,59762
2006,17143,"Peoria County, Illinois",9.8,58301
2006,17161,"Rock Island County, Illinois",10.6,53812
2006,17163,"St. Clair County, Illinois",9.1,58487
2006,17167,"Sangamon County, Illinois",8.9,61573
2006,17179,"Tazewell County, Illinois",8.5,60986
2006,17183,"Vermilion County, Illinois",14.7,46900
2006,17197,"Will County, Illinois",3.9,80817
2006,17201,"Winnebago County, Illinois",10.9,56135
2006,18003,"Allen County, Indiana",9.1,55573
2006,18005,"Bartholomew County, Indiana",6.3,62245
2006,18019,"Clark County, Indiana",10.8,54593
2006,18035,"Delaware County, Indiana",12.9,46421
2006,18039,"Elkhart County, Indiana",7.5,53553
2006,18043,"Floyd County, Indiana",7.1,61208
2006,18053,"Grant County, Indiana",9.1,48218
2006,18057,"Hamilton County, Indiana",2.2,89511
2006,18059,"Hancock County, Indiana",5.7,66698
2006,18063,"Hendricks County, Indiana",5.6,71930
2006,18067,"Howard County, Indiana",16.5,50743
2006,18081,"Johnson County, Indiana",2.5,67497
2006,18085,"Kosciusko County, Indiana",7.8,51207
2006,18089,"Lake County, Indiana",13.4,56200
2006,18091,"LaPorte County, Indiana",7.2,55344
2006,18095,"Madison County, Indiana",10.3,51307
2006,18097,"Marion County, Indiana",12.3,51180
2006,18105,"Monroe County, Indiana",9.8,59488
2006,18109,"Morgan County, Indiana",8.8,59258
2006,18127,"Porter County, Indiana",7.1,64306
2006,18141,"St. Joseph County, Indiana",8.1,58308
2006,18157,"Tippecanoe County, Indiana",10.0,54370
2006,18163,"Vanderburgh County, Indiana",9.7,54392
2006,18167,"Vigo County, Indiana",14.3,45772
2006,18177,"Wayne County, Indiana",7.1,48466
2006,19013,"Black Hawk County, Iowa",9.7,53683
2006,19061,"Dubuque County, Iowa",8.5,56197
2006,19103,"Johnson County, Iowa",8.1,67426
2006,19113,"Linn County, Iowa",6.2,60382
2006,19153,"Polk County, Iowa",7.2,64185
2006,19155,"Pottawattamie County, Iowa",8.1,55762
2006,19163,"Scott County, Iowa",8.9,58823
2006,19169,"Story County, Iowa",7.2,66851
2006,19193,"Woodbury County, Iowa",9.9,50645
2006,20045,"Douglas County, Kansas",9.6,59964
2006,20091,"Johnson County, Kansas",3.1,83298
2006,20103,"Leavenworth County, Kansas",8.7,73080
2006,20173,"Sedgwick County, Kansas",10.9,55667
2006,20177,"Shawnee County, Kansas",10.2,55930
2006,20209,"Wyandotte County, Kansas",14.2,45033
2006,21015,"Boone County, Kentucky",5.9,66062
2006,21029,"Bullitt County, Kentucky",4.5,60621
2006,21037,"Campbell County, Kentucky",11.4,66511
2006,21047,"Christian County, Kentucky",14.9,41705
2006,21059,"Daviess County, Kentucky",9.3,53968
2006,21067,"Fayette County, Kentucky",10.0,64243
2006,21093,"Hardin County, Kentucky",9.1,48543
2006,21111,"Jefferson County, Kentucky",11.6,55272
2006,21117,"Kenton County, Kentucky",6.5,66451
2006,21151,"Madison County, Kentucky",10.2,47675
2006,21195,"Pike County, Kentucky",16.0,39953
2006,21227,"Warren County, Kentucky",11.5,53644
2006,22005,"Ascension Parish, Louisiana",7.8,60891
2006,22015,"Bossier Parish, Louisiana",8.2,54679
2006,22017,"Caddo Parish, Louisiana",17.1,42397
2006,22019,"Calcasieu Parish, Louisiana",11.4,50151
2006,22033,"East Baton Rouge Parish, Louisiana",14.7,56917
2006,22045,"Iberia Parish, Louisiana",19.2,42143
2006,22051,"Jefferson Parish, Louisiana",9.5,54695
2006,22055,"Lafayette Parish, Louisiana",11.6,53160
2006,22057,"Lafourche Parish, Louisiana",13.1,46517
2006,22063,"Livingston Parish, Louisiana",11.5,48851
2006,22071,"Orleans Parish, Louisiana",16.0,47754
2006,22073,"Ouachita Parish, Louisiana",16.0,44703
2006,22079,"Rapides Parish, Louisiana",16.4,44824
2006,22097,"St. Landry Parish, Louisiana",25.6,33800
2006,22103,"St. Tammany Parish, Louisiana",5.9,68352
2006,22105,"Tangipahoa Parish, Louisiana",20.7,46448
2006,22109,"Terrebonne Parish, Louisiana",12.6,51667
2006,23001,"Androscoggin County, Maine",12.8,49683
2006,23003,"Aroostook County, Maine",12.0,41123
2006,23005,"Cumberland County, Maine",5.8,65552
2006,23011,"Kennebec County, Maine",7.1,53851
2006,23019,"Penobscot County, Maine",11.1,48664
2006,23031,"York County, Maine",5.2,57605
2006,24001,"Allegany County, Maryland",11.2,48480
2006,24003,"Anne Arundel County, Maryland",2.7,91171
2006,24005,"Baltimore County, Maryland",5.5,70716
2006,24009,"Calvert County, Maryland",1.5,91175
2006,24013,"Carroll County, Maryland",1.6,84923
2006,24015,"Cecil County, Maryland",6.2,66931
2006,24017,"Charles County, Maryland",4.5,84670
2006,24021,"Frederick County, Maryland",1.6,86468
2006,24025,"Harford County, Maryland",2.6,81495
2006,24027,"Howard County, Maryland",3.2,106455
2006,24031,"Montgomery County, Maryland",3.3,103476
2006,24033,"Prince George's County, Maryland",4.8,76350
2006,24037,"St. Mary's County, Maryland",5.2,78838
2006,24043,"Washington County, Maryland",7.0,60721
2006,24045,"Wicomico County, Maryland",7.2,58498
2006,24510,"Baltimore city, Maryland",15.8,43889
2006,25001,"Barnstable County, Massachusetts",2.3,70955
2006,25003,"Berkshire County, Massachusetts",8.6,62136
2006,25005,"Bristol County, Massachusetts",8.5,65606
2006,25009,"Essex County, Massachusetts",6.8,74598
2006,25011,"Franklin County, Massachusetts",4.9,63720
2006,25013,"Hampden County, Massachusetts",13.4,57068
2006,25015,"Hampshire County, Massachusetts",4.6,71634
2006,25017,"Middlesex County, Massachusetts",4.9,88429
2006,25021,"Norfolk County, Massachusetts",4.1,89145
2006,25023,"Plymouth County, Massachusetts",4.5,79683
2006,25025,"Suffolk County, Massachusetts",14.8,53218
2006,25027,"Worcester County, Massachusetts",6.7,73602
2006,26005,"Allegan County, Michigan",6.3,57158
2006,26017,"Bay County, Michigan",10.5,50499
2006,26021,"Berrien County, Michigan",12.4,52071
2006,26025,"Calhoun County, Michigan",13.1,52320
2006,26037,"Clinton County, Michigan",3.1,64270
2006,26045,"Eaton County, Michigan",5.8,64285
2006,26049,"Genesee County, Michigan",13.9,52105
2006,26055,"Grand Traverse County, Michigan",3.4,57213
2006,26065,"Ingham County, Michigan",13.5,54575
2006,26073,"Isabella County, Michigan",8.8,53798
2006,26075,"Jackson County, Michigan",11.3,53672
2006,26077,"Kalamazoo County, Michigan",8.8,61187
2006,26081,"Kent County, Michigan",9.7,57288
2006,26087,"Lapeer County, Michigan",10.1,64512
2006,26091,"Lenawee County, Michigan",7.0,55989
2006,26093,"Livingston County, Michigan",3.8,79383
2006,26099,"Macomb County, Michigan",6.4,67851
2006,26111,"Midland County, Michigan",8.0,60514
2006,26115,"Monroe County, Michigan",3.2,62483
2006,26121,"Muskegon County, Michigan",11.8,51074
2006,26125,"Oakland County, Michigan",4.4,84846
2006,26139,"Ottawa County, Michigan",2.0,65542
2006,26145,"Saginaw County, Michigan",14.8,48337
2006,26147,"St. Clair County, Michigan",9.5,59902
2006,26155,"Shiawassee County, Michigan",11.6,52313
2006,26159,"Van Buren County, Michigan",10.4,51215
2006,26161,"Washtenaw County, Michigan",7.7,76361
2006,26163,"Wayne County, Michigan",14.8,51633
2006,27003,"Anoka County, Minnesota",4.6,75410
2006,27019,"Carver County, Minnesota",4.5,85075
2006,27037,"Dakota County, Minnesota",3.6,83824
2006,27053,"Hennepin County, Minnesota",7.3,77364
2006,27109,"Olmsted County, Minnesota",3.6,75751
2006,27123,"Ramsey County, Minnesota",9.1,66392
2006,27137,"St. Louis County, Minnesota",7.9,56301
2006,27139,"Scott County, Minnesota",3.3,87992
2006,27141,"Sherburne County, Minnesota",5.5,74592
2006,27145,"Stearns County, Minnesota",8.7,61266
2006,27163,"Washington County, Minnesota",2.9,88439
2006,27171,"Wright County, Minnesota",5.6,70463
2006,28033,"DeSoto County, Mississippi",9.3,60649
2006,28035,"Forrest County, Mississippi",16.4,42391
2006,28047,"Harrison County, Mississippi",11.8,48938
2006,28049,"Hinds County, Mississippi",18.9,45150
2006,28059,"Jackson County, Mississippi",12.9,52290
2006,28067,"Jones County, Mississippi",13.6,34726
2006,28075,"Lauderdale County, Mississippi",21.8,38281
2006,28081,"Lee County, Mississippi",18.3,39698
2006,28089,"Madison County, Mississippi",8.2,71188
2006,28121,"Rankin County, Mississippi",9.7,60096
2006,29019,"Boone County, Missouri",7.1,59266
2006,29021,"Buchanan County, Missouri",11.1,46765
2006,29031,"Cape Girardeau County, Missouri",11.5,49264
2006,29037,"Cass County, Missouri",5.3,61125
2006,29043,"Christian County, Missouri",9.2,48896
2006,29047,"Clay County, Missouri",5.3,65737
2006,29051,"Cole County, Missouri",11.2,60510
2006,29071,"Franklin County, Missouri",8.4,52320
2006,29077,"Greene County, Missouri",7.2,50731
2006,29095,"Jackson County, Missouri",12.1,55042
2006,29097,"Jasper County, Missouri",12.9,39818
2006,29099,"Jefferson County, Missouri",6.2,62527
2006,29165,"Platte County, Missouri",4.9,74678
2006,29183,"St. Charles County, Missouri",3.1,75182
2006,29189,"St. Louis County, Missouri",6.6,70397
2006,29510,"St. Louis city, Missouri",22.8,37635
2006,30013,"Cascade County, Montana",9.8,48972
2006,30029,"Flathead County, Montana",3.3,51056
2006,30031,"Gallatin County, Montana",3.0,61801
2006,30063,"Missoula County, Montana",8.5,51383
2006,30111,"Yellowstone County, Montana",7.5,60045
2006,31055,"Douglas County, Nebraska",8.1,63101
2006,31109,"Lancaster County, Nebraska",6.8,62457
2006,31153,"Sarpy County, Nebraska",3.2,74071
2006,32003,"Clark County, Nevada",7.8,60859
2006,32031,"Washoe County, Nevada",6.5,66335
2006,33005,"Cheshire County, New Hampshire",5.7,56918
2006,33009,"Grafton County, New Hampshire",3.9,68216
2006,33011,"Hillsborough County, New Hampshire",4.8,78893
2006,33013,"Merrimack County, New Hampshire",5.7,64290
2006,33015,"Rockingham County, New Hampshire",2.9,83453
2006,33017,"Strafford County, New Hampshire",7.2,65340
2006,34001,"Atlantic County, New Jersey",7.0,62383
2006,34003,"Bergen County, New Jersey",3.7,92246
2006,34005,"Burlington County, New Jersey",4.6,79285
2006,34007,"Camden County, New Jersey",7.9,67383
2006,34009,"Cape May County, New Jersey",5.4,62909
2006,34011,"Cumberland County, New Jersey",12.9,57204
2006,34013,"Essex County, New Jersey",11.1,65268
2006,34015,"Gloucester County, New Jersey",6.1,79246
2006,34017,"Hudson County, New Jersey",12.9,51795
2006,34019,"Hunterdon County, New Jersey",1.8,109509
2006,34021,"Mercer County, New Jersey",6.3,78248
2006,34023,"Middlesex County, New Jersey",5.1,84431
2006,34025,"Monmouth County, New Jersey",4.0,94866
2006,34027,"Morris County, New Jersey",2.4,103267
2006,34029,"Ocean County, New Jersey",7.0,67911
2006,34031,"Passaic County, New Jersey",11.8,61803
2006,34033,"Salem County, New Jersey",5.2,70448
2006,34035,"Somerset County, New Jersey",2.7,105537
2006,34037,"Sussex County, New Jersey",3.8,86501
2006,34039,"Union County, New Jersey",6.0,74223
2006,34041,"Warren County, New Jersey",3.3,79455
2006,35001,"Bernalillo County, New Mexico",11.5,55439
2006,35013,"Dona Ana County, New Mexico",20.2,39455
2006,35031,"McKinley County, New Mexico",36.8,32402
2006,35043,"Sandoval County, New Mexico",8.1,62859
2006,35045,"San Juan County, New Mexico",13.4,50069
2006,35049,"Santa Fe County, New Mexico",5.8,61355
2006,35061,"Valencia County, New Mexico",14.4,45639
2006,36001,"Albany County, New York",7.1,68314
2006,36005,"Bronx County, New York",26.5,36013
2006,36007,"Broome County, New York",8.4,57098
2006,36009,"Cattaraugus County, New York",11.6,46168
2006,36011,"Cayuga County, New York",8.7,54114
2006,36013,"Chautauqua County, New York",12.9,46755
2006,36015,"Chemung County, New York",12.1,48185
2006,36019,"Clinton County, New York",8.5,56772
2006,36027,"Dutchess County, New York",4.0,77079
2006,36029,"Erie County, New York",10.5,58838
2006,36045,"Jefferson County, New York",14.3,44168
2006,36047,"Kings County, New York",19.3,45873
2006,36053,"Madison County, New York",6.9,58756
2006,36055,"Monroe County, New York",9.1,60383
2006,36059,"Nassau County, New York",3.3,99212
2006,36061,"New York County, New York",15.1,70867
2006,36063,"Niagara County, New York",10.7,55148
2006,36065,"Oneida County, New York",11.1,49799
2006,36067,"Onondaga County, New York",10.3,60029
2006,36069,"Ontario County, New York",4.7,63907
2006,36071,"Orange County, New York",8.4,73997
2006,36075,"Oswego County, New York",11.4,49730
2006,36079,"Putnam County, New York",2.0,95105
2006,36081,"Queens County, New York",9.9,57333
2006,36083,"Rensselaer County, New York",7.1,65247
2006,36085,"Richmond County, New York",7.0,78756
2006,36087,"Rockland County, New York",7.0,91169
2006,36089,"St. Lawrence County, New York",14.5,44571
2006,36091,"Saratoga County, New York",4.9,70414
2006,36093,"Schenectady County, New York",5.7,65207
2006,36101,"Steuben County, New York",7.7,50442
2006,36103,"Suffolk County, New York",4.5,86993
2006,36105,"Sullivan County, New York",9.1,56264
2006,36109,"Tompkins County, New York",4.7,72957
2006,36111,"Ulster County, New York",6.8,64040
2006,36113,"Warren County, New York",7.5,58756
2006,36117,"Wayne County, New York",10.1,56624
2006,36119,"Westchester County, New York",4.6,96926
2006,37001,"Alamance County, North Carolina",16.5,47598
2006,37019,"Brunswick County, North Carolina",7.5,52359
2006,37021,"Buncombe County, North Carolina",7.6,51646
2006,37023,"Burke County, North Carolina",11.0,45108
2006,37025,"Cabarrus County, North Carolina",8.4,58734
2006,37027,"Caldwell County, North Carolina",11.0,45189
2006,37035,"Catawba County, North Carolina",8.6,48936
2006,37045,"Cleveland County, North Carolina",15.3,46320
2006,37049,"Craven County, North Carolina",9.9,49608
2006,37051,"Cumberland County, North Carolina",15.6,48653
2006,37057,"Davidson County, North Carolina",6.1,51472
2006,37063,"Durham County, North Carolina",11.2,57851
2006,37067,"Forsyth County, North Carolina",10.5,55791
2006,37071,"Gaston County, North Carolina",9.9,52376
2006,37081,"Guilford County, North Carolina",10.9,57329
2006,37085,"Harnett County, North Carolina",12.9,50191
2006,37089,"Henderson County, North Carolina",10.3,51271
2006,37097,"Iredell County, North Carolina",8.5,57607
2006,37101,"Johnston County, North Carolina",10.4,54212
2006,37109,"Lincoln County, North Carolina",11.3,44194
2006,37119,"Mecklenburg County, North Carolina",8.4,64185
2006,37125,"Moore County, North Carolina",6.6,55144
2006,37127,"Nash County, North Carolina",10.6,50235
2006,37129,"New Hanover County, North Carolina",7.6,59137
2006,37133,"Onslow County, North Carolina",11.3,45478
2006,37135,"Orange County, North Carolina",6.7,71434
2006,37147,"Pitt County, North Carolina",15.6,51112
2006,37151,"Randolph County, North Carolina",11.6,47399
2006,37155,"Robeson County, North Carolina",25.5,30195
2006,37157,"Rockingham County, North Carolina",12.9,44910
2006,37159,"Rowan County, North Carolina",11.1,52472
2006,37171,"Surry County, North Carolina",12.9,44499
2006,37179,"Union County, North Carolina",5.0,66020
2006,37183,"Wake County, North Carolina",5.3,78369
2006,37191,"Wayne County, North Carolina",11.3,46045
2006,37193,"Wilkes County, North Carolina",12.2,47624
2006,37195,"Wilson County, North Carolina",17.2,45739
2006,38015,"Burleigh County, North Dakota",7.0,61773
2006,38017,"Cass County, North Dakota",4.5,63950
2006,38035,"Grand Forks County, North Dakota",7.7,56725
2006,39003,"Allen County, Ohio",8.5,55318
2006,39007,"Ashtabula County, Ohio",11.8,43848
2006,39013,"Belmont County, Ohio",12.5,46008
2006,39017,"Butler County, Ohio",7.5,64394
2006,39023,"Clark County, Ohio",10.0,51314
2006,39025,"Clermont County, Ohio",6.9,62910
2006,39029,"Columbiana County, Ohio",14.9,44255
2006,39035,"Cuyahoga County, Ohio",11.4,54506
2006,39041,"Delaware County, Ohio",3.5,91688
2006,39043,"Erie County, Ohio",5.8,60081
2006,39045,"Fairfield County, Ohio",4.4,64500
2006,39049,"Franklin County, Ohio",11.3,59599
2006,39055,"Geauga County, Ohio",4.1,73116
2006,39057,"Greene County, Ohio",7.9,69090
2006,39061,"Hamilton County, Ohio",10.8,60646
2006,39063,"Hancock County, Ohio",11.8,58124
2006,39081,"Jefferson County, Ohio",13.7,42653
2006,39085,"Lake County, Ohio",5.4,63011
2006,39089,"Licking County, Ohio",7.2,57495
2006,39093,"Lorain County, Ohio",10.2,58630
2006,39095,"Lucas County, Ohio",12.8,53989
2006,39099,"Mahoning County, Ohio",12.4,48767
2006,39101,"Marion County, Ohio",9.4,49401
2006,39103,"Medina County, Ohio",4.8,70795
2006,39109,"Miami County, Ohio",6.1,58329
2006,39113,"Montgomery County, Ohio",10.7,53632
2006,39119,"Muskingum County, Ohio",11.2,45865
2006,39133,"Portage County, Ohio",7.8,57062
2006,39139,"Richland County, Ohio",7.5,49669
2006,39141,"Ross County, Ohio",13.2,45868
2006,39145,"Scioto County, Ohio",19.5,36257
2006,39151,"Stark County, Ohio",9.9,52182
2006,39153,"Summit County, Ohio",9.1,59184
2006,39155,"Trumbull County, Ohio",8.7,49999
2006,39157,"Tuscarawas County, Ohio",10.1,45329
2006,39165,"Warren County, Ohio",4.5,77300
2006,39169,"Wayne County, Ohio",8.0,57009
2006,39173,"Wood County, Ohio",5.0,69343
2006,40017,"Canadian County, Oklahoma",5.4,57614
2006,40027,"Cleveland County, Oklahoma",8.3,59548
2006,40031,"Comanche County, Oklahoma",14.0,45574
2006,40037,"Creek County, Oklahoma",17.1,44332
2006,40101,"Muskogee County, Oklahoma",15.8,45024
2006,40109,"Oklahoma County, Oklahoma",12.3,50205
2006,40119,"Payne County, Oklahoma",12.0,48965
2006,40125,"Pottawatomie County, Oklahoma",13.6,49094
2006,40131,"Rogers County, Oklahoma",6.6,55727
2006,40143,"Tulsa County, Oklahoma",13.0,53313
2006,40145,"Wagoner County, Oklahoma",12.6,58313
2006,41003,"Benton County, Oregon",6.1,64816
2006,41005,"Clackamas County, Oregon",5.4,71877
2006,41017,"Deschutes County, Oregon",6.4,55414
2006,41019,"Douglas County, Oregon",10.3,46300
2006,41029,"Jackson County, Oregon",8.8,47417
2006,41033,"Josephine County, Oregon",11.4,47729
2006,41035,"Klamath County, Oregon",13.3,45904
2006,41039,"Lane County, Oregon",9.1,53027
2006,41043,"Linn County, Oregon",12.2,50490
2006,41047,"Marion County, Oregon",10.0,52792
2006,41051,"Multnomah County, Oregon",11.4,58400
2006,41053,"Polk County, Oregon",6.7,55528
2006,41059,"Umatilla County, Oregon",12.1,50273
2006,41067,"Washington County, Oregon",7.1,72107
2006,41071,"Yamhill County, Oregon",10.3,54570
2006,42001,"Adams County, Pennsylvania",5.6,61884
2006,42003,"Allegheny County, Pennsylvania",8.4,59962
2006,42005,"Armstrong County, Pennsylvania",8.1,48862
2006,42007,"Beaver County, Pennsylvania",6.3,53622
2006,42011,"Berks County, Pennsylvania",7.1,56895
2006,42013,"Blair County, Pennsylvania",8.4,48717
2006,42017,"Bucks County, Pennsylvania",3.2,84954
2006,42019,"Butler County, Pennsylvania",4.7,65456
2006,42021,"Cambria County, Pennsylvania",9.1,45076
2006,42027,"Centre County, Pennsylvania",7.0,61769
2006,42029,"Chester County, Pennsylvania",4.1,93698
2006,42033,"Clearfield County, Pennsylvania",10.1,42081
2006,42037,"Columbia County, Pennsylvania",5.4,46480
2006,42039,"Crawford County, Pennsylvania",9.2,42909
2006,42041,"Cumberland County, Pennsylvania",3.7,69890
2006,42043,"Dauphin County, Pennsylvania",7.1,61987
2006,42045,"Delaware County, Pennsylvania",6.3,70820
2006,42049,"Erie County, Pennsylvania",10.7,51149
2006,42051,"Fayette County, Pennsylvania",16.5,42093
2006,42055,"Franklin County, Pennsylvania",4.3,60243
2006,42063,"Indiana County, Pennsylvania",8.5,46423
2006,42069,"Lackawanna County, Pennsylvania",8.1,53969
2006,42071,"Lancaster County, Pennsylvania",6.3,61005
2006,42073,"Lawrence County, Pennsylvania",10.5,50462
2006,42075,"Lebanon County, Pennsylvania",5.6,60237
2006,42077,"Lehigh County, Pennsylvania",9.1,61098
2006,42079,"Luzerne County, Pennsylvania",10.2,50898
2006,42081,"Lycoming County, Pennsylvania",8.7,47962
2006,42085,"Mercer County, Pennsylvania",9.7,49127
2006,42089,"Monroe County, Pennsylvania",8.6,60409
2006,42091,"Montgomery County, Pennsylvania",3.4,87217
2006,42095,"Northampton County, Pennsylvania",5.7,63888
2006,42097,"Northumberland County, Pennsylvania",12.0,46606
2006,42101,"Philadelphia County, Pennsylvania",19.6,43049
2006,42107,"Schuylkill County, Pennsylvania",9.4,46441
2006,42111,"Somerset County, Pennsylvania",8.2,43287
2006,42125,"Washington County, Pennsylvania",6.8,58794
2006,42129,"Westmoreland County, Pennsylvania",6.7,55367
2006,42133,"York County, Pennsylvania",5.4,61988
2006,44003,"Kent County, Rhode Island",5.1,73493
2006,44005,"Newport County, Rhode Island",2.9,76555
2006,44007,"Providence County, Rhode Island",10.9,56175
2006,44009,"Washington County, Rhode Island",2.8,77977
2006,45003,"Aiken County, South Carolina",9.9,51957
2006,45007,"Anderson County, South Carolina",10.5,49608
2006,45013,"Beaufort County, South Carolina",9.4,56957
2006,45015,"Berkeley County, South Carolina",6.6,54553
2006,45019,"Charleston County, South Carolina",12.9,56353
2006,45031,"Darlington County, South Carolina",14.7,43298
2006,45035,"Dorchester County, South Carolina",5.1,57247
2006,45041,"Florence County, South Carolina",13.1,46287
2006,45045,"Greenville County, South Carolina",10.8,52232
2006,45047,"Greenwood County, South Carolina",11.8,49239
2006,45051,"Horry County, South Carolina",13.0,47678
2006,45059,"Laurens County, South Carolina",12.9,48763
2006,45063,"Lexington County, South Carolina",9.6,60151
2006,45073,"Oconee County, South Carolina",11.2,49722
2006,45075,"Orangeburg County, South Carolina",21.9,36333
2006,45077,"Pickens County, South Carolina",5.5,53793
2006,45079,"Richland County, South Carolina",9.8,56232
2006,45083,"Spartanburg County, South Carolina",9.9,51392
2006,45085,"Sumter County, South Carolina",15.0,42173
2006,45091,"York County, South Carolina",8.4,57285
2006,46099,"Minnehaha County, South Dakota",5.5,59664
2006,46103,"Pennington County, South Dakota",10.8,55186
2006,47001,"Anderson County, Tennessee",11.1,50242
2006,47009,"Blount County, Tennessee",10.9,52596
2006,47011,"Bradley County, Tennessee",12.4,44322
2006,47037,"Davidson County, Tennessee",12.3,54309
2006,47059,"Greene County, Tennessee",13.7,40308
2006,47065,"Hamilton County, Tennessee",9.9,52009
2006,47093,"Knox County, Tennessee",9.5,59467
2006,47113,"Madison County, Tennessee",16.3,46965
2006,47119,"Maury County, Tennessee",8.3,52865
2006,47125,"Montgomery County, Tennessee",10.7,51698
2006,47141,"Putnam County, Tennessee",9.3,44963
2006,47149,"Rutherford County, Tennessee",8.2,59174
2006,47155,"Sevier County, Tennessee",9.2,47162
2006,47157,"Shelby County, Tennessee",14.0,51006
2006,47163,"Sullivan County, Tennessee",13.9,46641
2006,47165,"Sumner County, Tennessee",7.9,63604
2006,47179,"Washington County, Tennessee",9.6,48324
2006,47187,"Williamson County, Tennessee",3.8,92181
2006,47189,"Wilson County, Tennessee",6.5,66660
2006,48005,"Angelina County, Texas",9.3,48281
2006,48021,"Bastrop County, Texas",6.0,57674
2006,48027,"Bell County, Texas",9.9,50085
2006,48029,"Bexar County, Texas",13.9,50425
2006,48037,"Bowie County, Texas",12.2,50263
2006,48039,"Brazoria County, Texas",9.3,65732
2006,48041,"Brazos County, Texas",14.8,54803
2006,48061,"Cameron County, Texas",32.1,28807
2006,48085,"Collin County, Texas",4.0,88180
2006,48091,"Comal County, Texas",6.9,66907
2006,48099,"Coryell County, Texas",9.4,49429
2006,48113,"Dallas County, Texas",13.7,49777
2006,48121,"Denton County, Texas",5.7,81272
2006,48135,"Ector County, Texas",14.7,46862
2006,48139,"Ellis County, Texas",11.0,62858
2006,48141,"El Paso County, Texas",24.9,34830
2006,48157,"Fort Bend County, Texas",5.9,84751
2006,48167,"Galveston County, Texas",11.2,62436
2006,48181,"Grayson County, Texas",11.3,54256
2006,48183,"Gregg County, Texas",13.1,50209
2006,48187,"Guadalupe County, Texas",10.1,60039
2006,48201,"Harris County, Texas",13.0,53779
2006,48209,"Hays County, Texas",4.5,71365
2006,48213,"Henderson County, Texas",15.1,41863
2006,48215,"Hidalgo County, Texas",32.9,30255
2006,48231,"Hunt County, Texas",12.5,45186
2006,48245,"Jefferson County, Texas",15.7,48041
2006,48251,"Johnson County, Texas",8.3,54593
