,Organization Name,Industries,Headquarters Location,Description,CB Rank (Company),Monthly Visits,Operating Status,Closed Date,Website,Twitter,LinkedIn,Founders,Acquisition Status,Acquired by
92,Getsafe,"Auto Insurance, FinTech, Insurance, InsurTech, Life Insurance, Mobile Apps","Heidelberg, Baden-Wurttemberg, Germany","We are building the world’s most powerful insurance platform to make sure that everyone is properly protected, everywhere and anytime.","4,457","209,750",Active,—,www.hellogetsafe.com,View on Twitter,View on LinkedIn,"Christian Wiens, Marius Simon",—,—
93,Float,"Accounting, Credit Cards, Finance, Financial Services, FinTech, Software","Toronto, Ontario, Canada","Float offers a corporate card and spend management solution that allows corporate cards, reimbursements, approvals, and invoices management.","4,479","46,856",Active,—,floatcard.com,View on Twitter,View on LinkedIn,"Griffin Keglevich, Rob Khazzam, Ruslan Nikolaev, Ruslan Nikolaev, Sajad Shirazi Maqam",—,—
94,Ribbon Health,"Analytics, Developer APIs, Health Care, mHealth, Predictive Analytics","New York, New York, United States",Ribbon Health is a predictive analytics and data platform for the healthcare industry.,"4,513","12,878",Active,—,www.ribbonhealth.com,View on Twitter,View on LinkedIn,"Nate Fox, Nate Maslak",—,—
95,b.well Connected Health,"Biotechnology, Electronic Health Record (EHR), Health Care, Health Insurance, Personal Health, Pharmaceutical","Baltimore, Maryland, United States","b.well Connected Health provides an integrated solution for consumer engagement, holistic health management, and cost containment.","4,593","41,470",Active,—,icanbwell.com/,View on Twitter,View on LinkedIn,"Bryan Jones, Kristen Valdes",—,—
96,Mino Games,"Blockchain, Developer Platform, Gaming, Mobile, Online Games, Video Games","Montréal, Quebec, Canada","Mino Games produces the top 50 grossing mobile game Mino Monsters, with over 13 million downloads.","4,668","9,982",Active,—,minogames.com,—,View on LinkedIn,"Josh Buckley, Sasha MacKinnon, TJ Murphy",Made Acquisitions,—
97,Dyno Therapeutics,"Artificial Intelligence, Biotechnology, Health Care","Cambridge, Massachusetts, United States",Dyno Therapeutics is a biotechnology company that uses artificial intelligence for gene therapy.,"4,761","6,491",Active,—,www.dynotx.com,View on Twitter,View on LinkedIn,"Adrian Veres, Alan Crane, Eric Kelsic, George Church, Sam Sinai, Tomas Bjorklund",—,—
98,Pico,"Asset Management, Cloud Infrastructure, Communications Infrastructure, Financial Services, FinTech, Service Industry","New York, New York, United States",Pico is a provider of technology services for the global financial markets community.,"4,961","16,553",Active,—,www.pico.net,—,View on LinkedIn,Jarrod Yuster,Made Acquisitions,—
99,Hygraph,"CMS, Content, Content Creators, Information Technology, Software","Berlin, Berlin, Germany",Hygraph is a GraphQL-based federated content management system for digital creators and digital products.,"4,982","178,345",Active,—,hygraph.com,View on Twitter,View on LinkedIn,"Daniel Winter, Michael Lukaszczyk",—,—
100,Zapata Computing,"Computer, Quantum Computing, Software","Boston, Massachusetts, United States",Zapata Computing is a quantum software company that offers computing solutions for industrial and commercial use.,"4,992","10,245",Active,—,www.zapatacomputing.com/,View on Twitter,View on LinkedIn,"Alán Aspuru-Guzik, Christopher Savoie, Jhonathan Romero, Jonathan Olson, Peter Johnson, Yudong Cao",—,—
101,Fulcrum,"Enterprise Resource Planning (ERP), Enterprise Software, Manufacturing, SaaS, Small and Medium Businesses","Minneapolis, Minnesota, United States",Fulcrum is a SaaS platform allowing manufacturers to improve efficiency through workflow optimization and automated data collection.,"5,105","78,507",Active,—,www.fulcrumpro.com,View on Twitter,View on LinkedIn,Yu Sunny Han,—,—
102,Dooly,"Artificial Intelligence, Computer, Sales Automation, Software","Vancouver, British Columbia, Canada",Dooly is a sales enablement platform that collects information and insights essential to close business sales.,"5,064","71,628",Active,—,www.dooly.ai,View on Twitter,View on LinkedIn,"Justin Vaillancourt, Kris Hartvigsen",—,—
103,Propeller Aero,"Analytics, Drone Management, Drones, Electronics, Enterprise Software, Geospatial, Industrial, Information Technology, Mapping Services, Software","Surry Hills, New South Wales, Australia",Propeller is a global leader in drone-mapping and analytics solutions that give worksites the power to measure and manage themselves.,"5,134","70,969",Active,—,www.propelleraero.com/,View on Twitter,View on LinkedIn,"Francis Vierboom, Rory San Miguel",—,—
104,Culture Biosciences,"Biotechnology, Cloud Data Services, Industrial Automation, Robotics","San Francisco, California, United States",Culture Biosciences develops automated bio-reactors that help companies optimize their manufacturing processes.,"5,128","2,203",Active,—,www.culturebiosciences.com/,View on Twitter,View on LinkedIn,"Matthew Ball, Will Patrick",—,—
105,Graphite,"Internet, Recruiting, Software, Staffing Agency","San Francisco, California, United States",Graphite is a technology platform for on-demand business expertise.,"5,158","165,804",Active,—,www.graphite.com,—,View on LinkedIn,"Ashwin Krishnan, Jason Gordon, Vikram Ashok",—,—
106,Blink,"Collaboration, Enterprise Software, Messaging, Mobile, Mobile Apps","London, England, United Kingdom",The mobile app that connects frontline workers to everything they need in one place.,"5,194","190,780",Active,—,joinblink.com,View on Twitter,View on LinkedIn,Sean Nolan,—,—
107,Samsara,"Business Intelligence, Cloud Data Services, Internet of Things, SaaS, Software","San Francisco, California, United States",Samsara is the pioneer of the Connected Operations Cloud.,"5,197","2,966,807",Active,—,www.samsara.com,View on Twitter,View on LinkedIn,"John Bicket, Sanjit Biswas",—,—
108,SVT Robotics,"Information Technology, Logistics, Robotics, Software, Supply Chain Management","Norfolk, Virginia, United States",SVT Robotics is a warehouse automation software intended to become a bridge between businesses and automation.,"5,199","5,516",Active,—,svtrobotics.com/,View on Twitter,View on LinkedIn,"A.K. Schultz, Michael Howes",—,—
109,Branded,"Consumer Goods, E-Commerce, Marketing","Paris, Ile-de-France, France",Branded is a startup company that acquires and partners with top-performing Amazon sellers and brands.,"5,252","6,154",Active,—,joinbranded.com,View on Twitter,View on LinkedIn,"Alexis Lanternier, Ben Kaminski, Michael Ronen, Pierre Poignant",Made Acquisitions,—
110,ABEJA,"Analytics, Artificial Intelligence, Big Data, CRM, Machine Learning, Marketing, Marketing Automation","Tokyo, Tokyo, Japan","ABEJA is a platform that integrate state-of-the-art AI technologies including IoT, big data, and deep learning.","5,256","40,362",Active,—,abejainc.com,View on Twitter,View on LinkedIn,"Keisuke Tomimatsu, Ozeki Masayuki, Takanori Ogata, Yousuke Okada",—,—
111,Untapped,"Human Resources, Information Technology, Professional Networking, Professional Services, Recruiting","San Francisco, California, United States",Untapped is a diversity recruiting platform that helps companies hire diverse teams.,"5,386","120,503",Active,—,www.untapped.io,View on Twitter,View on LinkedIn,"Adam Gefkovicz, Ben Herman",—,—
112,AfterShip,"Customer Service, E-Commerce, SaaS, Shipping","Tsuen Wan, New Territories, Hong Kong","We help e-commerce businesses grow and make buying and selling accessible to everyone, everywhere.","5,437","31,061,492",Active,—,www.aftership.com,View on Twitter,View on LinkedIn,Dante Tsang,—,—
113,Duetto,"Big Data, Business Intelligence, Cloud Computing, Hospitality, News, Price Comparison, SaaS, Travel","San Francisco, California, United States","Duetto specializes in cloud applications, SAAS, revenue management systems, and hotel leadership software.","5,495","6,238",Active,—,www.duettocloud.com,View on Twitter,View on LinkedIn,Craig Weissman,—,—
114,Theta Labs,"Blockchain, Computer, Digital Entertainment, Gaming, Media and Entertainment, Video, Video on Demand, Video Streaming","San Jose, California, United States","Web3 Blockchain Infrastructure for Video, Media & Entertainment","5,578","127,886",Active,—,www.thetatoken.org/,View on Twitter,View on LinkedIn,"Jieyi Long, Mitch Liu, Ryan Nichols",—,—
115,Up&Up,"Finance, Information Technology, Real Estate, Rental Property","New York, New York, United States",Up&Up is a tech-enabled real estate platform that allows renters to accumulate fractional ownership of the properties.,"5,581",—,Active,—,upandup.co,View on Twitter,View on LinkedIn,"Basil Siddiqui, Benedict Wong, Michael Wong, Ryan Brown",—,—
116,Resolve,"B2B, Billing, E-Commerce, FinTech, Payments","San Francisco, California, United States","Resolve is a B2B payments platform that offers buy now, pay later billing for business purchases.","5,597","11,499",Active,—,www.resolvepay.com,View on Twitter,View on LinkedIn,"Brian Nguyen, Chris Tsai",—,—
117,Rapid Robotics,"Industrial Automation, Manufacturing, Robotics","San Francisco, California, United States",Rapid Robotics provides out-of-the-box automation for manufacturers.,"5,617","5,660",Active,—,www.rapidrobotics.com/,View on Twitter,View on LinkedIn,"Jordan Kretchmer, Ruddick Lawrence",—,—
118,Bestow,"Developer APIs, FinTech, Insurance, InsurTech, Life Insurance","Dallas, Texas, United States",Bestow is an insurance technology company offering term life insurance that is accessible and affordable to families.,"5,721","114,956",Active,—,www.bestow.com,View on Twitter,View on LinkedIn,"Jonathan Abelmann, Melbourne O'Banion",Made Acquisitions,—
119,Gro Intelligence,"Agriculture, Artificial Intelligence, Big Data, Data Visualization, Information Technology, SaaS","New York, New York, United States","The AI-powered decision engine across agriculture, climate, and the economy","5,747","22,791",Active,—,www.gro-intelligence.com,View on Twitter,View on LinkedIn,"Nemo Semret, Sara Menker, Sewit Ahderom",—,—
120,Unsupervised,"Analytics, Artificial Intelligence, Big Data, Information Technology","Boulder, Colorado, United States",Unsupervised is an automated analytics platform provider that finds hidden insights in complex data.,"5,832",—,Active,—,unsupervised.com/,View on Twitter,View on LinkedIn,"Noah Horton, Tyler Willis",—,—
121,Deep Genomics,"Artificial Intelligence, Biotechnology, Genetics, Therapeutics","Toronto, Ontario, Canada",Deep Genomics is using artificial intelligence to build a new universe of life-saving genetic therapies.,"5,865","12,256",Active,—,www.deepgenomics.com/,View on Twitter,View on LinkedIn,"Andrew Delong, Brendan Frey, Hannes Bretschneider, Hui Yuan Xiong",—,—
122,CYE,"Cyber Security, Security, Software","Herzliya, Tel Aviv, Israel","CYE provides organizational security assessments, revealing complete attack routes, and building optimized mitigation plans.","5,908",907,Active,—,www.cyesec.com/,View on Twitter,View on LinkedIn,Reuven Aronashvili,—,—
123,Bridgit,"Construction, Mobile, Software","Kitchener, Ontario, Canada","Bridgit is workforce intelligence for construction, helping the industry maximize profits and reduce risk by taking a people-first approach.","5,919","70,941",Active,—,www.gobridgit.com,View on Twitter,View on LinkedIn,"Aaron Bassin, Lauren Lake, Mallorie Brodie",—,—
124,Locusview,"Energy, Information Technology, Internet of Things, IT Infrastructure, Software","Herzliya, Tel Aviv, Israel",Locusview's digital infrastructure construction platform manages the entire construction process from planning to revenue.,"5,933","154,354",Active,—,www.locusview.com/,View on Twitter,View on LinkedIn,"Alicia Farag, Shahar Levi",Made Acquisitions,—
125,Shelf Engine,"Grocery, Machine Learning, Predictive Analytics, Sales Automation, Software, Waste Management","Seattle, Washington, United States",Shelf Engine is a provider of an automated prediction engine that predicts the perfect amount of perishable goods to order.,"5,937","10,140",Active,—,www.shelfengine.com,View on Twitter,View on LinkedIn,"Bede Jordan, Stefan Kalb",—,—
126,Snapsheet,"Auto Insurance, Insurance, InsurTech, Mobile, Property Insurance, Software","Chicago, Illinois, United States",Snapsheet delivers claims experiences through its cloud-native claims management software and tech-enabled appraisal services.,"5,990","10,097",Active,—,www.snapsheetclaims.com/,View on Twitter,View on LinkedIn,"Brad Weisberg, CJ Przybyl",—,—
127,Beam,"Dental, Financial Services, Insurance","Columbus, Ohio, United States","Beam offers insurance, dental, and financial services.","5,991","41,877",Active,—,www.beambenefits.com,View on Twitter,View on LinkedIn,"Alex Curry, Alex Frommeyer, Dan Dykes",—,—
128,Focal Systems,"Artificial Intelligence, Computer Vision, E-Commerce, Retail, Retail Technology","Burlingame, California, United States","Automate and optimize retail through the use of deep learning computer vision. With focalOS, Focal provides the operating system of retail.","5,989",—,Active,—,www.focal.systems/,View on Twitter,View on LinkedIn,"Adriano Quiroga, Francois Chaubard, Michael Cantalino",—,—
129,Archipelago,"Artificial Intelligence, Machine Learning, Risk Management, Software","San Francisco, California, United States",Archipelago uses AI to digitize risk for large owners of commercial property to increase their resiliency and lower their cost of risk.,"6,014","40,450",Active,—,www.onarchipelago.com/,View on Twitter,View on LinkedIn,"Anthony Siggers, Hemant H. Shah, Madhu Tadikonda, Roger Bodamer",—,—
130,Blameless,"Analytics, Information Technology","San Mateo, California, United States",The complete site reliability engineering (SRE) platform.,"6,138","9,121",Active,—,blameless.com/,View on Twitter,View on LinkedIn,"Ashar Rizqi, Lyon Wong, Santiago Suarez Ordoñez",—,—
131,Zippin,"Artificial Intelligence, Computer, Retail Technology, Shopping, Software","San Francisco, California, United States",Zippin is the next generation of checkout-free technology enabling retailers to quickly deploy frictionless shopping in their stores.,"6,194","6,231",Active,—,www.getzippin.com/,View on Twitter,View on LinkedIn,"Krishna Motukuri, Motilal Agrawal",—,—
132,Armory,"Cloud Computing, Cloud Infrastructure, Enterprise Applications, Enterprise Software, Information Technology, Internet, SaaS, Software","San Mateo, California, United States","Armory is an enterprise software company commercializing the open-source continuous delivery platform, Spinnaker.","6,237","7,637",Active,—,www.armory.io,View on Twitter,View on LinkedIn,"Ben Mappen, Daniel Odio, Isaac Mosquera",—,—
133,BIOAGE LABS,"Biotechnology, Computer","Richmond, California, United States",BIOAGE targets aging to develop drugs that treat severe diseases,"6,391","11,165",Active,—,bioagelabs.com/,View on Twitter,View on LinkedIn,"Eric Morgen, Kristen Fortney",—,—
134,Branch International,"Apps, Finance, Financial Services, FinTech","San Francisco, California, United States",Branch offers mobile financial services across emerging markets to spur human potential.,"6,460","95,942",Active,—,branch.co/,View on Twitter,View on LinkedIn,"Daniel Jung, Matt Flannery, Random Bares",—,—
135,Vori Health,"Health Care, Medical, Personal Health","Nashville, Tennessee, United States","Vori Health offers a nationwide, all-inclusive medical practice that is uniquely positioned to address back, neck, and other joint issues.","6,523","10,401",Active,—,www.vorihealth.com,View on Twitter,View on LinkedIn,"Mary O'Connor, Ryan Grant",—,—
136,Manticore Games,"Console Games, PC Games, Video Games","San Mateo, California, United States","Manticore Games develops Core, a platform to build, share, and play online games.","6,540","21,750",Active,—,www.manticoregames.com/,View on Twitter,View on LinkedIn,"Frederic Descamps, Jordan Maynard",—,—
137,Prose,"Beauty, Consumer Goods, Cosmetics, E-Commerce, Health Care","New York, New York, United States",Custom hair care made fresh in NYC with natural active ingredients,"6,586","852,135",Active,—,prose.com,View on Twitter,View on LinkedIn,"Arnaud Plas, Catherine Taurin, Nicolas Mussat, Paul Michaux",—,—
138,Y42,"Analytics, Business Intelligence, Data Integration, Data Visualization, Information Technology, SaaS","Berlin, Berlin, Germany",Y42 is the first fully managed Modern DataOps Cloud for production-ready data pipelines on top of Google BigQuery and Snowflake.,"6,599","74,853",Active,—,www.y42.com,View on Twitter,View on LinkedIn,Hung Dang,—,—
139,Nacelle,"E-Commerce, Information Technology, SaaS","Los Angeles, California, United States",Nacelle is an e-commerce platform that offers commerce and content data solutions.,"6,644","9,662",Active,—,nacelle.com,View on Twitter,View on LinkedIn,"Brian Anderson, Rachel Tyers",—,—
140,MeMed,"Biotechnology, Health Care, Health Diagnostics, Medical","Tirat Carmel, Hefa, Israel","MeMed Diagnostics is a personalized diagnostics company, focused on preventing antibiotics misuse.","6,738","1,424",Active,—,www.me-med.com,View on Twitter,View on LinkedIn,"Eran Eden, Kfir Oved",—,—
141,Papaya,"Banking, Computer, Computer Vision, Financial Services, FinTech, Information Technology, Mobile Payments, Payments","Los Angeles, California, United States",Papaya is a developer of an online mobile application and payments technology designed to simplify bill payment for consumers.,"6,679","221,642",Active,—,PapayaPay.com,View on Twitter,View on LinkedIn,"Jason Meltzer, Patrick Kann",—,—
142,Clear Labs,"Biotechnology, Health Diagnostics, Robotics, Software","San Carlos, California, United States",Clear Labs is a provider of a fully-automated sequencing platform for turnkey diagnostics.,"6,820","4,238",Active,—,www.clearlabs.com,View on Twitter,View on LinkedIn,"Mahni Ghorashi, Sasan Amini",—,—
143,Maxwell Financial Labs,"Credit, Financial Services, FinTech, Real Estate","Denver, Colorado, United States",A digital mortgage platform and value-added services designed exclusively for small to midsize mortgage lenders.,"6,829","16,643",Active,—,www.himaxwell.com,View on Twitter,View on LinkedIn,"John Paasonen, Lance Poole, Rutul Davé",—,—
144,Obsidian Therapeutics,"Biotechnology, Health Care, Pharmaceutical","Cambridge, Massachusetts, United States",Obsidian Therapeutics is a developer of a next-generation cell and gene therapies created to extend adoptive immunotherapy.,"6,855","2,085",Active,—,obsidiantx.com/,View on Twitter,View on LinkedIn,"Michael Gilman, Steve Shamah, Tariq Kassum",—,—
145,Bright Power,"Energy, Energy Management, Solar","New York, New York, United States","Bright Power is the premier provider of energy and water management services for real estate owners, investors, and operators.","6,878",—,Active,—,www.brightpower.com/,View on Twitter,View on LinkedIn,"Jean Barmash, Jeffrey Perlman",Made Acquisitions,—
146,Sorcero,"Artificial Intelligence, Enterprise Software, Health Care, Machine Learning, Natural Language Processing, PaaS, Software","Washington, District of Columbia, United States","Sorcero supports medical, insurance, and engineering experts to make better decisions, at scale, with the Language Intelligence Platform.","6,922","11,956",Active,—,www.sorcero.com,View on Twitter,View on LinkedIn,"Dipanwita Das, Richard Graves",—,—
147,UBQ Materials,"GreenTech, Recycling, Waste Management","Tel Aviv, Tel Aviv, Israel",UBQ offers technology for diverting municipal solid waste and converting it into a sustainable substitute for oil-based plastics.,"6,946","11,959",Active,—,www.ubqmaterials.com,View on Twitter,View on LinkedIn,"Jack Bigio, Yeuda Pearl",—,—
148,Veryable,"Manufacturing, Marketplace, Mobile Apps, Warehousing","Dallas, Texas, United States","Veryable is an industrial technology company with marketplaces designed to improve speed, flexibility, and agility in manufacturing.","7,022","117,604",Active,—,veryableops.com,View on Twitter,View on LinkedIn,"Mike Kinder, Noah Labhart",—,—
149,Zeal,Software,"San Francisco, California, United States",Zeal helps platforms build custom payroll products.,"7,083","145,504",Active,—,www.zeal.com/,View on Twitter,View on LinkedIn,"Kirti Shenoy, Pranab Krishnan",—,—
150,Workit Health,"Health Care, Hospital, Personal Health, Risk Management","Ann Arbor, Michigan, United States",Workit Health is a virtual clinic dedicated to medically-assisted treatment and online therapy for substance use disorder.,"7,174","12,153",Active,—,www.workithealth.com,View on Twitter,View on LinkedIn,"Lisa McLaughlin, Robin McIntosh",—,—
151,Dialogue,"Health Care, Wellness","Montréal, Quebec, Canada",Dialogue is a healthcare company that provides virtual care treatment and telemedicine for chronic diseases.,"7,207","183,476",Active,—,www.dialogue.co/,View on Twitter,View on LinkedIn,"Alexis Smirnov, Anna Chif, Cherif Habib",Made Acquisitions,—
152,Elligo Health Research,"Biotechnology, Health Care, Medical, Pharmaceutical","Austin, Texas, United States",Elligo Health Research brings clinical research to physician practices and accelerate the development of medical device and therapies.,"7,231","14,831",Active,—,www.elligohealthresearch.com/,View on Twitter,View on LinkedIn,Chad Moore,Made Acquisitions,—
153,Centrical,"Enterprise Software, Gamification, Human Resources, SaaS","New York, New York, United States","Centrical is an employee-centric success platform that enables employee engagement, development, and performance management.","7,278","17,821",Active,—,centrical.com/,View on Twitter,View on LinkedIn,Gal Rimon,—,—
154,Beacon Platform,"Analytics, Financial Services, Information Services, Information Technology","New York, New York, United States",Beacon is a development platform that enables commercially-focused quants to rapidly write and release code in a scalable.,"7,312","6,608",Active,—,www.beacon.io/,View on Twitter,View on LinkedIn,"Kirat Singh, Mark Higgins",—,—
155,Verifiable,"Health Care, Real Time, Software","San Francisco, California, United States","Verifiable develops real-time credential verification platform intended to verify licenses, sanctions, and other important records.","9,287","5,469",Active,—,verifiable.com,View on Twitter,View on LinkedIn,"Nicholas Macario, Vivekanand Rajkumar",—,—
156,Revenue Grid,"Analytics, Collaboration, Consulting, Data Integration, Enterprise Applications, Enterprise Resource Planning (ERP), Enterprise Software, Marketing, SaaS, Software","Atlanta, Georgia, United States",Revenue Grid provides guidance and improves sales performance for sales teams.,"7,416","63,590",Active,—,revenuegrid.com,View on Twitter,View on LinkedIn,"Anatoly Gaverdovsky, Konstantin Vaganov, Vlad Voskresensky",—,—
157,Awardco,"B2B, Employee Benefits, Human Resources, SaaS","Provo, Utah, United States",Awardco builds workplace culture and creates employee loyalty through value-driven recognition and rewards.,"7,483","49,932",Active,—,www.award.co,View on Twitter,View on LinkedIn,Steven J Sonnenberg,—,—
158,DataChat,"Analytics, Artificial Intelligence, Business Intelligence","Madison, Wisconsin, United States",DataChat is an information technology company that offers conversational intelligence platform.,"7,563","1,956",Active,—,datachat.ai/,—,View on LinkedIn,"Jignesh Patel, Jignesh Patel, Rogers Jeffrey Leo John",—,—
159,Fold,"Apps, Bitcoin, Gift Card, Internet, Mobile Payments","Atlanta, Georgia, United States",Fold is a rewards app where users can earn bitcoin back on every purchase.,"7,654","197,086",Active,—,foldapp.com,View on Twitter,View on LinkedIn,"Chris Martin, Corbin Pon, Matt Luongo, Will Reeves",—,—
160,Outer,"E-Commerce, Furniture, Manufacturing, Retail","Santa Monica, California, United States",Outer is a direct-to-consumer outdoor furniture brand.,"8,052","91,742",Active,—,liveouter.com/,View on Twitter,View on LinkedIn,"Jiake Liu, Terry Lin",—,—
161,Ceres Imaging,"Agriculture, AgTech, Big Data, Drones, Machine Learning","Oakland, California, United States",Ceres Imaging is a California-based aerial spectral imagery and analytics company that serves farmers and agribusinesses.,"8,055","25,736",Active,—,www.ceresimaging.net/,View on Twitter,View on LinkedIn,Ashwin Madgavkar,—,—
162,Rainforest QA,"Mobile Apps, Quality Assurance, Software, Test and Measurement, Web Development","San Francisco, California, United States",Rainforest QA offers modern testing for web and mobile apps.,"8,195","661,375",Active,—,www.rainforestqa.com/,View on Twitter,View on LinkedIn,"Fred Stevens-Smith, Russell Smith",—,—
163,DiA Imaging Analysis,"Artificial Intelligence, Health Care, Medical, Software","Be'er Sheva, HaDarom, Israel",DiA Imaging Analysis provides advanced AI-based ultrasound analysis smarter and accessible.,"8,319",218,Active,—,www.dia-analysis.com/,View on Twitter,View on LinkedIn,"Arnon Toussia Cohen, Hila Goldman-Aslan, Michal Yaacobi, Noah Liel Cohen",Was Acquired,Philips
164,Faculty Science,"Artificial Intelligence, Consumer Electronics, Electronics, Information Technology, Machine Learning, Software","London, England, United Kingdom",Faculty provides data science and engineering training services.,"8,394","69,553",Active,—,faculty.ai/,View on Twitter,View on LinkedIn,"Angie Ma, Marc Warner",—,—
165,Inertia,"Augmented Reality, Construction, Data Mining, Project Management, SaaS","San Diego, California, United States",Inertia is a location-driven construction management platform that provides solutions to alleviate jobsite productivity challenges.,"8,518","32,651",Active,—,www.inertiasystems.com,View on Twitter,View on LinkedIn,Matthew Hudelson,—,—
166,unspun,"3D Technology, E-Commerce, Fashion, Industrial Automation, Robotics, Software, Textiles","San Francisco, California, United States","unspun is a robotics and digital apparel company building custom jeans for each consumer, on-demand.","8,529","12,833",Active,—,unspun.io,View on Twitter,View on LinkedIn,"Elizabeth Esponnette, Kevin Martin, Walden Lam",—,—
167,Brainomix,"Artificial Intelligence, Biotechnology, Machine Learning, Medical, Medical Device, Software","Oxford, Oxfordshire, United Kingdom",Brainomix specializes in the creation of AI-powered imaging biomarkers that enable precision medicine for better treatment decisions,"8,602","26,645",Active,—,www.brainomix.com,View on Twitter,View on LinkedIn,"Andrew Barker, Michalis Papadakis",—,—
168,Prelude,"Cyber Security, Desktop Apps, Information Technology","Seattle, Washington, United States",Prelude is a technology company that helps organizations proactively ask questions of their security systems to advance their defenses.,"8,621","11,504",Active,—,www.preludesecurity.com,View on Twitter,View on LinkedIn,Spencer Thompson,—,—
169,Clinch,"Advertising, Artificial Intelligence, E-Commerce, Marketing, Mobile, SaaS, Social Media, Video","New York, New York, United States",Clinch delivers hyper-personalized creative experiences and consumer intelligence across all channels,"8,639","3,146,799",Active,—,clinch.co,View on Twitter,View on LinkedIn,"Oz Etzioni, Raz Peter",—,—
170,MachineMetrics,"Analytics, Industrial Automation, Internet, Manufacturing, Predictive Analytics, SaaS, Software","Northampton, Massachusetts, United States",MachineMetrics is an Industrial IoT analytics and machine monitoring platform that empowers customers through real-time data.,"8,647","59,598",Active,—,www.machinemetrics.com/,View on Twitter,View on LinkedIn,"Bill Bither, Eric Fogg, Jacob Lauzier",—,—
171,SameSky Health,"Health Care, Medical, Wellness","North Hollywood, California, United States",Multicultural engagement and health equity solutions,"8,816","7,820",Active,—,sameskyhealth.com/,View on Twitter,View on LinkedIn,"Abner Mason, Alex Denny, Jamie Morganstern, Robyn LaMont",—,—
172,Coder,"Cloud Computing, Developer Platform, Developer Tools, Enterprise Software, Software","Austin, Texas, United States","Coder provides open-source tools and an enterprise platform that makes it easier to configure, secure, and scale development environments.","8,849","57,526",Active,—,coder.com/,View on Twitter,View on LinkedIn,"Ammar Bandukwala, John Andrew Entwistle, John Andrew Entwistle, Kyle Carberry",—,—
173,Imubit,"Artificial Intelligence, Chemical Engineering, Machine Learning, Oil and Gas","Houston, Texas, United States",AI process optimization platform for process manufacturing,"8,942",519,Active,—,www.imubit.com,—,View on LinkedIn,"Gilad Cohen, Meir Tseitlin, Nadav Cohen",—,—
174,Raft (FKA Vector.ai),Logistics,"London, England, United Kingdom",The Intelligent Freight Command Center,"9,000","25,536",Active,—,www.raft.ai/,View on Twitter,View on LinkedIn,"James Coombes, Nisarg Mehta",—,—
175,Philz Coffee,"Coffee, Food and Beverage, Restaurants","San Francisco, California, United States",Philz is a third wave coffee shop chain with locations primarily in the Bay Area.,"9,027","77,413",Active,—,philzcoffee.com,View on Twitter,View on LinkedIn,"Jacob Jaber, Phil Jaber",—,—
176,Tempus Ex,"Artificial Intelligence, Image Recognition, Information Technology, Machine Learning, Software","San Francisco, California, United States","Tempus Ex merge AI, ML, and data science technologies to delivers cutting-edge solutions that aim to change the sports experience.","9,042",706,Active,—,tempus-ex.com,View on Twitter,View on LinkedIn,—,—,—
177,Aspen RxHealth,"Apps, Health Care, Information Technology, Internet, Mobile Apps","Tampa, Florida, United States",Aspen RxHealth is a service powered by an app-based platform that connects pharmacists with patients.,"9,068","155,002",Active,—,www.aspenrxhealth.com/,View on Twitter,View on LinkedIn,Wuhong Li,—,—
178,Sprout Solutions,"Enterprise Software, Human Resources, Productivity Tools","Manila, Manila, Philippines",Sprout is an HR solution that automates essential operations across the employee lifecycle.,"9,079","134,343",Active,—,sprout.ph,View on Twitter,View on LinkedIn,"Alexandria Gentry, Patrick Gentry",Made Acquisitions,—
179,Fabric,"E-Commerce, Logistics, Retail, Robotics, Supply Chain Management","New York, New York, United States",Fabric enables retailers to offer same-day delivery at profitable unit economics with a network of micro-fulfillment centers.,"9,117","4,428",Active,—,getfabric.com,View on Twitter,View on LinkedIn,"Elram Goren, Eyal Goren, Ori Avraham, Shay Cohen, Tom Bassett",—,—
180,AirGarage,"Internet, Online Portals, Parking, Payments, Real Estate, Software, Transportation","San Francisco, California, United States",AirGarage is the 21st century parking operator. We handle everything it takes to run your parking asset.,"9,134","442,617",Active,—,airgarage.com,View on Twitter,View on LinkedIn,"Chelsea Border, Jonathon Barkl, Scott Fitsimones",—,—
181,Prodigal,"Finance, SaaS, Software","Mountain View, California, United States","A Consumer Finance Intelligence solution that analyzes agent and customer conversations to enhance profits, experience, and compliance.","9,184","28,231",Active,—,prodigaltech.com/,View on Twitter,View on LinkedIn,"Sangram Raje, Saransh Garg, Shantanu Gangal",—,—
182,Teamflow,Software,"San Francisco, California, United States",Feel like a team again with your own virtual office.,"9,190","14,377",Active,—,teamflowhq.com,View on Twitter,—,Florent Crivello,—,—
183,Zomentum,"Enterprise Software, Information Technology, Software","San Francisco, California, United States",Zomentum is an MSP sales management tool that offers revenue management services.,"9,218","27,133",Active,—,www.zomentum.com,View on Twitter,View on LinkedIn,"Rahil Shah, Shruti Ghatge",Made Acquisitions,—
184,Skycatch,"Artificial Intelligence, Cloud Data Services, Drones, Machine Learning, Robotics, Software","San Francisco, California, United States","Skycatch builds technology to autonomously capture, process, and analyze 3D drone data.","9,285","16,712",Active,—,www.skycatch.com,View on Twitter,View on LinkedIn,"Christian Sanz, Christopher Bumgardner, Mark Heynen",—,—
