,Organization Name,Industries,Headquarters Location,Description,CB Rank (Company),Monthly Visits,Operating Status,Closed Date,Website,Twitter,LinkedIn,Founders,Acquisition Status,Acquired by
164,TDengine,"Analytics, Data Storage, Database, Internet, Internet of Things, Software","Los Gatos, California, United States","TDengine is an open source, high-performance, cloud native time-series database.","8,246","1,617",Active,—,tdengine.com,View on Twitter,View on LinkedIn,Jeff Tao,—,—
165,Humanscape,"Big Data, Blockchain, Health Care, Information Technology","Seoul, Seoul-t'ukpyolsi, South Korea","Humanscape is a health-tech startup which operates blockchain-based, rare disease patient health data platform.","8,358",—,Active,—,humanscape.io/en,View on Twitter,View on LinkedIn,Stephen Chang,—,—
166,Trainual,"SaaS, Small and Medium Businesses, Software, Training","Scottsdale, Arizona, United States",Trainual is a software platform that helps businesses build playbooks to train and grow their team.,"8,427","201,794",Active,—,www.trainual.com,View on Twitter,View on LinkedIn,"Chris Ronzio, Jonathan Ronzio",—,—
167,SIMULATE,"Biotechnology, Food and Beverage, Food Processing, Nutrition","New York, New York, United States",SIMULATE's mission is to upgrade the world to a positive food system.,"8,508","6,859",Active,—,simulate.com,View on Twitter,View on LinkedIn,"Ben Pasternak, Sam Terris",—,—
168,Behalf,"B2B, Finance, Financial Services, FinTech, Internet of Things, Payments","New York, New York, United States",Behalf develops a digital platform that facilitates payments and accelerates cash flow by extending net terms and financing to businesses.,"8,625","1,352",Active,—,www.behalf.com,View on Twitter,View on LinkedIn,"Benjy Feinberg, Jeremy Esekow, Shai Feinberg",—,—
169,Via Separations,"Advanced Materials, CleanTech, Energy, Energy Efficiency, Industrial, Manufacturing, Product Research","Watertown, Massachusetts, United States","Via Separations eliminates energy use in industrial processes, allowing pathways for a more sustainable, resource efficient future.","8,645","3,289",Active,—,www.viaseparations.com/,—,View on LinkedIn,"Brent Keller, Shreya Dave",—,—
170,Katana Graph,"Analytics, Business Intelligence, Information Technology, IT Infrastructure, Software","Austin, Texas, United States",Katana Graph develops performance graph databases designed to interact with unstructured data.,"8,650",—,Active,—,www.katanagraph.com/,View on Twitter,View on LinkedIn,"Chris Rossbach, Keshav Pingali",—,—
171,Envoy Technologies,"Car Sharing, Commercial Real Estate, Communities, Electric Vehicle, Fleet Management, Hospitality, Real Estate, Software, Transportation","Culver City, California, United States","Envoy provides onsite mobility services which includes electric car-sharing and EV charging for apartments, offices, and hotels.","8,656","3,618",Active,—,www.envoythere.com,View on Twitter,View on LinkedIn,"Aric Ohana, Ori Sagie",—,—
172,Odaseva,"Analytics, Big Data, Business Information Systems, Cloud Security, Compliance, Enterprise Software, Information Technology, SaaS, Software","San Francisco, California, United States",Odaseva is the leading Enterprise Data Platform for Salesforce offering powerful tools to keep Salesforce data protected,"8,666","1,845",Active,—,www.odaseva.com/,View on Twitter,View on LinkedIn,"Chantal Quentin, Richard Zolezzi, Rémy Claret, Sovan Bin, Vincent Delamarre",—,—
173,Inato,"Artificial Intelligence, Clinical Trials, Health Care, Machine Learning, Pharmaceutical","Paris, Ile-de-France, France",Inato is a platform designed for clinical trials that can unlock research site potential.,"8,794","19,720",Active,—,inato.com,View on Twitter,View on LinkedIn,"Jean-David Zeitoun, Kourosh Davarpanah, Philippe Ravaud, William Pambrun",—,—
174,Twistlock,"Cloud Security, Enterprise Software, Information Technology, Security","Portland, Oregon, United States",Twistlock is cloud native cybersecurity for the modern enterprise.,"8,828","3,065,372",Closed,—,www.paloaltonetworks.com,View on Twitter,View on LinkedIn,"Ben Bernstein, Dima Stopel",Was Acquired,Palo Alto Networks
175,NaturAll,"Beauty, E-Commerce","Philadelphia, Pennsylvania, United States",NaturAll wants you to refrigerate your haircare products.,"8,835","60,506",Active,—,naturallclub.com/,View on Twitter,View on LinkedIn,"Muhga Eltigani, Samuel Roberts",—,—
176,AVIA,"Collaboration, Consulting, Health Care","Chicago, Illinois, United States",AVIA is a digital transformation partner helping healthcare organizations.,"8,861","2,388",Active,—,aviahealth.com,View on Twitter,View on LinkedIn,"Eric Langshur, Ted Meisel",—,—
177,Encodia,"Biotechnology, Chemical","San Diego, California, United States",Encodia is a biotech company that develops the next generation of protein analysis tools.,"8,955",—,Active,—,www.encodia.com/,View on Twitter,View on LinkedIn,"Julie Sunderland, Kevin Gunderson, Mark Chee, Michael Weiner",—,—
178,Stedi,"B2B, Information Technology","Boulder, Colorado, United States",A platform of developer-focused building blocks for business integrations.,"8,956","16,510",Active,—,www.stedi.com,—,View on LinkedIn,"David Kanter, Zack Kanter",—,—
179,OnTruck,"Delivery Service, Freight Service, Logistics, Packaging Services, Transportation","Madrid, Madrid, Spain","OnTruck offers companies regional merchandise transport services, through an immediate and transparent price management system.","9,035",289,Active,—,www.ontruck.com/,View on Twitter,View on LinkedIn,"Antonio Lu, Gonzalo Parejo Navajas, Inigo Juantegui, Javier Fernandez Escribano, Rika Christanto, Samuel Fuentes",—,—
180,Bolt.Earth,"Automotive, Electric Vehicle, Energy Storage","Bangalore, Karnataka, India",Bolt.Earth provides charging products and end-to-end solutions for electric vehicles.,"9,077",—,Active,—,bolt.earth,View on Twitter,View on LinkedIn,"Jyotiranjan Harichandan, Mohit Yadav",—,—
181,Iterative.ai,"Artificial Intelligence, Cloud Data Services, Data Integration, Machine Learning","San Francisco, California, United States",Iterative.ai is an MLOps platform that develops lifecycle management for datasets and machine learning models.,"9,094","20,975",Active,—,iterative.ai,View on Twitter,View on LinkedIn,"Dmitry Petrov, Ivan Shcheklein",—,—
182,CyberSmart,"B2B, Compliance, Cyber Security, InsurTech, Network Security, Risk Management, SaaS","London, England, United Kingdom",CyberSmart is an automated end-to-end cyber security compliance platform that helps SMBs.,"9,109","11,326",Active,—,cybersmart.co.uk,View on Twitter,View on LinkedIn,"Jamie Akhtar, Mariella Thanner",—,—
183,Skello,"Business Information Systems, Computer, SaaS, Software","Paris, Ile-de-France, France","Skello makes schedule in a few clicks, communicate with teams and automatically process payroll.","9,111","259,207",Active,—,www.skello.io,View on Twitter,View on LinkedIn,"Emmanuelle Fauchier Magnan, Quitterie Mathelin-Moreaux, Samy Amar, Thibault Desplats",—,—
184,VERO Leasing,"Predictive Analytics, Property Management, Real Estate","New York, New York, United States",VERO Leasing offers a platform that automates residential applicant screening and leasing.,"9,122","147,822",Active,—,sayvero.com,View on Twitter,View on LinkedIn,"Joe Ben-Zvi, Lou Baugier",—,—
185,InDebted,"Debt Collections, Finance, Financial Services, FinTech, Machine Learning, Software","North Sydney, New South Wales, Australia",InDebted provides a debt collection software that allows customers to effectively manage the repayment of their overdue accounts.,"9,226","20,293",Active,—,www.indebted.co/,View on Twitter,View on LinkedIn,Josh Foreman,Made Acquisitions,—
186,GreenPark Sports,"eSports, Gaming, Online Games, Video Games","Burlingame, California, United States",GreenPark Sports is a social sports gaming developer designed to create a virtual sports environment for sports and eSports fans.,"9,235",657,Active,—,www.greenparksports.com,View on Twitter,View on LinkedIn,"Chad Hurley, Ken Martin, Nick Swinmurn",—,—
187,FOSSA,"Compliance, Developer Tools, Open Source, SaaS, Software","San Francisco, California, United States",FOSSA provides a platform that helps enterprises manage and maximize open source use at scale.,"9,315","48,582",Active,—,fossa.com,View on Twitter,View on LinkedIn,Kevin Wang,—,—
188,IAM Robotics,"Industrial Automation, Mobile, Robotics","Pittsburgh, Pennsylvania, United States",IAM Robotics delivers innovative automation technology that coordinates humans and robots as a cohesive system to revolutionize fulfillment.,"9,333",—,Active,—,www.iamrobotics.com,View on Twitter,View on LinkedIn,Tom Galluzzo,—,—
189,Jirav,"Analytics, B2B, Finance, Financial Services, Predictive Analytics","San Francisco, California, United States","B2B Financial Modeling, FP&A, and Predictive Analytics","9,336","24,946",Active,—,www.jirav.com,View on Twitter,View on LinkedIn,"Martin Zych, Sameer Halai, Steve Turner",—,—
190,Cobli,"Artificial Intelligence, Automotive, Fleet Management, Information Technology, Logistics, Software","São Paulo, Sao Paulo, Brazil",Cobli is the FleetTech that simplifies and improves fleet management.,"9,355","204,520",Active,—,www.cobli.co/,—,View on LinkedIn,"Parker Treacy, Rodrigo Mourad",—,—
191,Rune Labs,"Health Care, Information Technology, SaaS, Software","San Francisco, California, United States",Rune Labs is a software and data platform for neuromodulation and brain therapies of the future.,"9,396","2,253",Active,—,runelabs.io/,—,View on LinkedIn,Brian Pepin,—,—
192,Hint,"Food and Beverage, Manufacturing, Water","San Francisco, California, United States",Hint is a beverage startup that produces natural flavored unsweetened essence water.,"9,585","471,901",Active,—,www.drinkhint.com,View on Twitter,View on LinkedIn,"Kara Goldin, Theodore Goldin",—,—
193,Fortem Technologies,"Aerospace, Air Transportation, Autonomous Vehicles, Drone Management, Mechanical Engineering","Pleasant Grove, Utah, United States","Fortem Technologies is a privately held, venture backed company that delivers ultra small C-SWAP radar to enable the autonomous revolution.","9,588","5,945",Active,—,www.fortemtech.com/,View on Twitter,View on LinkedIn,"Adam Robertson, Timothy Bean",—,—
194,Impala,"Developer APIs, Hospitality, SaaS, Software","London, England, United Kingdom","Impala's API connects room sellers and hotels, instantly. We empower you to build, innovate and sell.","9,731",—,Active,—,www.impala.travel,View on Twitter,View on LinkedIn,"Ben Stephenson, Charles Cowley",—,—
195,HUM Nutrition,"Beauty, Consumer Goods, Health Care, Nutrition, Wellness","Los Angeles, California, United States",HUM is the leading beauty nutrition brand with the mission is to help you look and feel your absolute best all the time.,"9,743","947,041",Active,—,www.humnutrition.com/,View on Twitter,View on LinkedIn,"Christopher Coleridge, Walter Faulstroh",—,—
196,Flexciton,"Artificial Intelligence, Industrial, Industrial Automation, Machine Learning, Manufacturing, Semiconductor, Software","London, England, United Kingdom",Flexciton is the intelligent advantage platform for streamlined chipmaking,"9,754","9,682",Active,—,www.flexciton.com/,View on Twitter,View on LinkedIn,"Dennis Xenos, Jamie Potter",—,—
197,MDI Health,"Artificial Intelligence, Health Care, Machine Learning, Medical","Tel Aviv, Tel Aviv, Israel",MDI Health offers an AI-powered platform that provides unique decision support tools for personalized drug treatments.,"9,808","3,588",Active,—,www.mdihealth.com,—,View on LinkedIn,"Avishai Ben-Tovim, Dr. Dorit Dil Nahlieli",—,—
198,Kettle,"Financial Services, Information Technology, Insurance, InsurTech, Machine Learning","Berkeley, California, United States",Kettle is an insurtech company that develops a machine-learning powered reinsurer balancing risk in a changing climate.,"10,009","3,524",Active,—,ourkettle.com,View on Twitter,View on LinkedIn,"Andrew Engler, Nathaniel Manning, Son Le",—,—
199,Mosaic.tech,"Analytics, Artificial Intelligence, B2B, Big Data, FinTech, Machine Learning, SaaS, Software","San Diego, California, United States",Mosaic.tech is a finance platform that provides predictive reporting capabilities to assist with financial strategy and planning.,"10,114","75,990",Active,—,mosaic.tech,View on Twitter,View on LinkedIn,"Bijan Moallemi, Brian Campbell, Joe Garafalo",—,—
200,Vortexa,"Analytics, Construction, Industrial, Trading Platform","London, England, United Kingdom",Shaping the future of energy markets,"10,171","19,570",Active,—,www.vortexa.com/,View on Twitter,View on LinkedIn,"Etienne Amic, Fabio Kuhn",—,—
201,Bespoke Post,"Consumer Goods, E-Commerce, Lifestyle, Men's","New York, New York, United States",A subscription box and e-commerce shop stocked with quality finds for curious minds.,"10,248","4,045,871",Active,—,bespokepost.com,View on Twitter,View on LinkedIn,"Rishi Prabhu, Steven Szaronos",—,—
202,Nature,"Clean Energy, Consumer Electronics, Energy Management, Internet, Internet of Things, Sensor","Shibuya, Kanagawa, Japan",Nature offers a product that enables its users to save money by controlling the use of their air conditioners.,"10,367",—,Active,—,www.nature.global,View on Twitter,View on LinkedIn,"Haruumi Shiode, Masayuki Matsuki",—,—
203,Boku,"E-Commerce, Financial Services, Internet, Mobile Payments, Payments","San Francisco, California, United States",Boku is a global mobile payments network providing mobile-enhanced payments in e-commerce and at physical point-of-sale.,"10,684","3,560,391",Active,—,www.boku.com,View on Twitter,View on LinkedIn,"Erich Ringewald, Mark Britto, Ron Hirson","Made Acquisitions, Was Acquired",DaoPay
204,GetAccept,"Direct Sales, Document Management, E-Signature, Enterprise Software, SaaS, Sales, Sales Automation","San Francisco, California, United States",GetAccept is an all-in-one sales enablement solution that assists B2B sales reps in closing remote deals.,"10,720","394,567",Active,—,www.getaccept.com,View on Twitter,View on LinkedIn,"Carl Carell, Jonas Blanck, Mathias Thulin, Samir Smajic",—,—
205,ProcessMaker,"Commercial, Enterprise Software, Open Source, Software","Durham, North Carolina, United States",ProcessMaker Inc. is the developer of the ProcessMaker Workflow & BPM software suite.,"10,767","93,812",Active,—,www.processmaker.com,View on Twitter,View on LinkedIn,"Bobby Vernon, Brian Reale",Made Acquisitions,—
206,Valence Discovery,"Artificial Intelligence, Machine Learning, Pharmaceutical, Therapeutics","Montréal, Quebec, Canada","Valence Discovery (“Valence”), is an AI-first design of novel chemistry against previously intractable biology.","10,777",626,Active,—,www.valencediscovery.com,—,—,"Daniel Cohen, Prudencio Tossou, Therence Bois",Was Acquired,Recursion Pharmaceuticals
207,Concord,"Contact Management, Data Storage, Document Management, Enterprise Software, Software","San Francisco, California, United States","Concord allows users to create, collaborate on, sign, and manage all contracts in one platform.","10,822","98,737",Active,—,www.concordnow.com,View on Twitter,View on LinkedIn,"Florian Parain, Matt Lhoumeau",—,—
208,Tyro Payments,"Banking, Finance, Financial Services, Payments, Service Industry","Sydney, New South Wales, Australia",Tyro Payments provides financial services.,"10,840","84,902",Active,—,www.tyro.com,View on Twitter,View on LinkedIn,"Andrew Rothwell, Paul Wood, Peter Haig",Made Acquisitions,—
209,Plantible Foods,"Food Processing, Nutrition","San Marcos, California, United States",Plantible Foods is a B2B food technology company with the goal to develop the most functional and applicable plant-based protein.,"10,876","3,250",Active,—,www.plantiblefoods.com/,View on Twitter,View on LinkedIn,"Maurits van de Ven, Tony Martens",—,—
210,Grip Security,"Cyber Security, Information Technology, Network Security, Productivity Tools, SaaS","Tel Aviv, Tel Aviv, Israel",Grip offers a SaaS security management platform to bring comprehensive visibility across all enterprise SaaS applications--known or unknown.,"10,884",—,Active,—,www.grip.security,View on Twitter,View on LinkedIn,"Alon Shenkler, Idan Fast, Lior Yaari",—,—
211,Kore.ai,"Artificial Intelligence, Collaboration, Enterprise Software, Machine Learning, Natural Language Processing, PaaS","Orlando, Florida, United States",Kore.ai is a global leader in enterprise conversational AI platform and solutions helping businesses deliver extraordinary experiences.,"10,936","98,043",Active,—,kore.ai,View on Twitter,View on LinkedIn,Raj Koneru,—,—
212,HumanFirst,Health Care,"San Francisco, California, United States","HumanFirst enables safe, effective, and equitable healthcare operations at home.","10,959","5,092",Active,—,www.gohumanfirst.com,View on Twitter,View on LinkedIn,"Andrea (Andy) Coravos, Sofia Warner",—,—
213,TailorMed,"Financial Services, FinTech, Fitness, Health Care, Machine Learning, Wellness","Tel Aviv, Tel Aviv, Israel",Reinventing financial navigation,"11,060","3,918",Active,—,www.tailormed.co/,View on Twitter,View on LinkedIn,"Adam Siton, Srulik Dvorsky",Made Acquisitions,—
214,TROOP (formerly TroopTravel),"Big Data, Business Travel, Enterprise Software, Meeting Software","Villanueva Del Pardillo, Madrid, Spain",TROOP is a corporate platform that optimizes meeting and event planning through data-driven technology.,"11,194","4,231",Active,—,trooptravel.com,View on Twitter,View on LinkedIn,"Dennis Vilovic, Leonard Cremer",—,—
215,"Sounding Board, Inc","E-Learning, Human Resources, Information Technology, Software, Training","Aliso Viejo, California, United States",Sounding Board provides a data-driven virtual leadership development platform for corporate leaders.,"11,225","8,026",Active,—,www.soundingboardinc.com,View on Twitter,View on LinkedIn,"Christine Tao, Lori Mazan",—,—
216,BriteCore,"Enterprise Software, Insurance, InsurTech, Service Industry, Software","Redwood City, California, United States","BriteCore's cloud-native core platform for P&C insurers unlocks business growth, increased efficiency, and a modern customer experience.","11,259","25,832",Active,—,www.britecore.com/,View on Twitter,View on LinkedIn,"Chris Reynolds, Phillip Reynolds",—,—
217,EX.CO,"Advertising, Content Marketing, Marketing, Video Advertising","New York, New York, United States",EX.CO is the leading website personalization platform.,"11,290","212,909",Active,—,ex.co,View on Twitter,View on LinkedIn,"Shachar Orren, Shaul Olmert, Tom Pachys",Made Acquisitions,—
218,Intelligent Growth Solutions,Industrial Automation,"Edinburgh, Edinburgh, City of, United Kingdom","Power, lighting and communications platforms in controlled environments.","11,446","12,311",Active,—,www.intelligentgrowthsolutions.com/,View on Twitter,—,"Dave Scott, Henry Aykroyd",—,—
219,ASAAS,"Billing, FinTech, Information Technology, Payments, Software","Joinville, Santa Catarina, Brazil",Asaas helps individuals and companies automate financial processes and improve their relationship with customers.,"11,475","3,449,853",Active,—,www.asaas.com,View on Twitter,View on LinkedIn,"Diego Contezini, Fernando Chagas, Jeferson Leandro Kortbein, Mônica Dalosto, Piero Contezini",Made Acquisitions,—
220,Civis Analytics,"Analytics, Big Data, Consulting, Data Integration, SaaS, Software","Chicago, Illinois, United States",Civis Analytics is a software company that helps public and private sector organizations make data-driven decisions.,"11,548","106,995",Active,—,www.civisanalytics.com,View on Twitter,View on LinkedIn,"Caroline Grey, Dan Wagner",—,—
221,Memrise,"E-Learning, EdTech, Education, Language Learning, Software","London, England, United Kingdom","Memrise is a language learning platform available in iOS, android, and web.","11,551","5,800,041",Active,—,www.memrise.com,View on Twitter,View on LinkedIn,"Ben Whately, Ed Cooke, Greg Detre",—,—
222,Robocorp,"Cloud Infrastructure, Information Technology, Open Source, SaaS, Software","San Francisco, California, United States",Robocorp is a cloud platform for robotic process automation (RPA) and open source RPA tools.,"11,562","102,873",Active,—,robocorp.com/,View on Twitter,View on LinkedIn,"Antti Karjalainen, Jouko Ahvenainen, Sampo Ahokas, Teppo Koskinen",—,—
223,Antidote.me,"Biotechnology, Health Care, Health Diagnostics, Medical, Pharmaceutical","London, England, United Kingdom","Antidote is a digital health company that accelerates and improves medical research by combining technologies, data, and business models.","11,606","43,357",Active,—,www.antidote.me,View on Twitter,View on LinkedIn,"Eithan Ephrati, Jessica Mann, Pablo Graiver",—,—
224,Blowhorn,"Logistics, Transportation, Travel","Bangalore, Karnataka, India",India's leading asset light logistics startup moving goods from 1g to 1Ton,"11,802","100,172",Active,—,blowhorn.com/,View on Twitter,View on LinkedIn,"Michael Strong, Mithun Srivatsa, Nikhil Shivaprasad",—,—
225,Anima App,"Developer Tools, Information Technology, Internet, Product Design, Software, Web Design","New York, New York, United States",Anima is the design-to-code platform.,"11,916","174,199",Active,—,www.animaapp.com,View on Twitter,View on LinkedIn,"Avishay Cohen, Michal Cohen, Or Arbel",—,—
226,Connected Cannabis,"Cannabis, Health Care","Sacramento, California, United States",Connected Cannabis is a vertically integrated cannabis company for the cannasseurs of the weed industry.,"12,006","201,999",Active,—,www.connectedcannabisco.com/,View on Twitter,View on LinkedIn,"Caleb Counts, Luke Coleman",Made Acquisitions,—
227,MakerSights,"Predictive Analytics, Retail Technology, Software","San Francisco, California, United States",The only collaborative assortment management workspace enabling brands to embed consumer data throughout the product-to-market process.,"12,146","52,509",Active,—,makersights.com,View on Twitter,View on LinkedIn,"Dan Leahy, Matt Field",—,—
228,Tortuga AgTech,"Agriculture, AgTech, Artificial Intelligence, Farming, Machine Learning","Denver, Colorado, United States","Tortuga AgTech helps growers by using robots that performs a variety of labor-intensive tasks on the farm, with an emphasis on harvest.","12,551","14,373",Active,—,www.tortugaagtech.com,View on Twitter,View on LinkedIn,"Eric Adamson, Tim Brackbill",—,—
229,TBM Japan,"Manufacturing, Renewable Energy","Tokyo, Tokyo, Japan","TBM is a development, manufacture and sale of LIMEX and LIMEX products.","12,573","37,199",Active,—,tb-m.com/limex/,View on Twitter,—,"Koji Sakamoto, Momo Nakatani, Sumi Yuichiro, Tetsuya Imamura, Yamasaki Nobuyoshi",Made Acquisitions,—
230,Hearsay Systems,"Digital Marketing, Financial Services, FinTech, Marketing, SaaS, Social Media, Social Media Marketing, Software","San Francisco, California, United States",Hearsay Systems is a financial services firms in asset management.,"12,757","4,852",Active,—,hearsaysystems.com/,View on Twitter,View on LinkedIn,"Clara Shih, Steve Garrity",Made Acquisitions,—
231,Bolder Industries,"Clean Energy, Manufacturing, Waste Management","Boulder, Colorado, United States",Bolder Industries offers advanced manufacturer or sustainable alternatives to carbon black and performance petrochemicals.,"12,778",—,Active,—,bolderindustries.com,View on Twitter,View on LinkedIn,Tony Wibbeler,—,—
232,Passbase,"Identity Management, Information Technology, Internet, Software","Berlin, Berlin, Germany","Passbase provides digital identity verification, AML, and KYC compliance solutions.","12,844","17,225",Active,—,passbase.com,View on Twitter,View on LinkedIn,"Dave McGibbon, Felix Gerlach, Mathias J. Klenk",—,—
233,Sempre Health,"Health Care, Hospital, Medical","San Francisco, California, United States","Sempre Health is a platform that brings behavior-based, dynamic pricing to healthcare.","12,857","5,184",Active,—,www.semprehealth.com,View on Twitter,View on LinkedIn,"Anurati Mathur, Swaraj Banerjee",—,—
234,Commsignia,"Automotive, Internet of Things, Manufacturing, Software, Wireless","Santa Clara, California, United States","Commsignia specializes in the research and development, manufacturing and distribution of cooperative intelligent transportation systems.","12,865","7,005",Active,—,www.commsignia.com,View on Twitter,View on LinkedIn,"Andras Takacs, Laszlo Virag",—,—
235,Deed,"Cause Marketing, Communities, Human Resources, SaaS, Social Impact","Brooklyn, New York, United States",Deed provides a social impact platform to connect people with causes and businesses with social impact.,"12,879","4,712",Active,—,joindeed.com,View on Twitter,View on LinkedIn,"Aske Ertmann, Deevee Kashi, Steven Liu",—,—
236,SOFIE,"Biotechnology, Life Science, Manufacturing, Medical Device, Pharmaceutical","Culver City, California, United States",SOFIE is a molecular imaging company focused on empowering people with new PET technologies.,"12,892","5,089",Active,—,sofie.com/,View on Twitter,View on LinkedIn,"Johannes Czernin, Michael Phelps, Owen Witte",Made Acquisitions,—
237,BitClout,"Bitcoin, Cryptocurrency, Open Source","Osaka, Osaka, Japan",BitClout is an open-source social media platform that builds a Proof-of-Work blockchain for its users.,"12,935","16,449",Closed,—,BitClout.com,View on Twitter,View on LinkedIn,Nader Al-Naji,Made Acquisitions,—
238,Dave,"Banking, Financial Services, FinTech","Los Angeles, California, United States",Dave is a banking app on a mission to create financial opportunity that advances America’s collective potential.,"12,939","8,464,805",Active,—,www.Dave.com,View on Twitter,View on LinkedIn,"Jason Wilk, John Wolanin, Paras Chitakar",—,—
239,Cogniac,"Artificial Intelligence, Computer Vision, Enterprise, Software","San Jose, California, United States",Cogniac is a SaaS-based computer vision platform.,"12,974","6,495",Active,—,www.cogniac.ai,View on Twitter,View on LinkedIn,"Amy Wang, Bill Kish",—,—
240,Stir,"Internet, Software","San Francisco, California, United States",Stir is where creators run their business.,"13,119","10,900",Active,—,www.usestir.com,View on Twitter,View on LinkedIn,"Joseph Perri Albanese, Kushal Byatnal",—,—
241,WorkWhile,"Employment, Internet, Virtual Workforce","San Francisco, California, United States","WorkWhile is a labor technology platform that helps workers find jobs that fit their skills, schedule, and location.","13,033","176,351",Active,—,www.workwhilejobs.com,View on Twitter,View on LinkedIn,"Amol Jain, Daniel Pepper, Jarah Euston",—,—
242,Harness Wealth,"Consulting, Financial Services, FinTech, Wealth Management","New York, New York, United States",Harness Wealth provides the next generation of builders confidence in their best financial future.,"13,169","9,143",Active,—,www.harnesswealth.com,View on Twitter,View on LinkedIn,"Catherine Prentke English, David Snider, Drew Schwartz",—,—
243,izumi Finance,"Financial Services, FinTech","Tokyo, Tokyo, Japan",izumi Finance is a platform providing liquidity as a Service (LaaS) with Uniswap V3 .,"13,188","2,769",Active,—,izumi.finance/home,View on Twitter,—,—,—,—
244,Sora Schools,Education,"Atlanta, Georgia, United States","A live, virtual middle & high school designed to accelerate your student toward their wildest dreams.","13,349","53,110",Active,—,soraschools.com,View on Twitter,View on LinkedIn,"Garrett Smiley, Indra Sofian, Wesley Samples",—,—
245,RecVue,"Billing, Cloud Computing, Enterprise Software, SaaS","Palo Alto, California, United States","RecVue's Order-to-Cash platform helps modern businesses automate complex billing models, enabling them to scale at speed.","13,344",—,Active,—,www.recvue.com,View on Twitter,View on LinkedIn,Nishant Nair,—,—
246,Honorlock,"EdTech, Education, Software, Web Apps","Boca Raton, Florida, United States",Honorlock provides remote proctoring services for colleges and universities.,"13,504","1,077,417",Active,—,honorlock.com/,View on Twitter,View on LinkedIn,"Adam Roth, Elena Soboleva",—,—
247,THE WELL,"Fitness, Health Care, Medical, Wellness","New York, New York, United States",THE WELL is a modern membership-based wellness club designed for busy urban professionals.,"13,523","19,834",Active,—,www.the-well.com,—,View on LinkedIn,"Kane Sarhan, Rebecca Parekh, Sarrah Hallock",—,—
248,Smart Reporting,"Health Care, Health Diagnostics, Medical, Software","Munich, Bayern, Germany",Smart Reporting offers a digital health solution for structured medical reporting.,"13,601",993,Active,—,www.smart-reporting.com/,View on Twitter,View on LinkedIn,"Stefan Klussmann, Wieland Sommer",—,—
249,Bright.md,"Artificial Intelligence, Health Care, Information Technology, Medical, mHealth","Portland, Oregon, United States",Bright.md develops an AI-powered care automation platform that transforms direct-to-patient telehealth for healthcare systems.,"13,626",—,Active,—,bright.md,View on Twitter,View on LinkedIn,"Mark Swinth, Ray Costantini",—,—
250,Starmind,"Artificial Intelligence, Collaboration, Enterprise Software, Knowledge Management, Machine Learning, Q&A, Real Time, SaaS, Social Network, Software","Zürich, Zurich, Switzerland",Starmind connects employees to colleagues with answers through self-learning knowledge networks enabled by AI,"13,718","4,003",Active,—,starmind.ai/,View on Twitter,View on LinkedIn,"Marc Vontobel, Pascal Kaufmann",—,—
251,Exo Therapeutics,"Biotechnology, Health Care, Pharmaceutical","Cambridge, Massachusetts, United States",Exo Therapeutics is a small molecule drug discovery and development company.,"13,785","10,309",Active,—,exo-therapeutics.com/,—,View on LinkedIn,David R. Liu,—,—
252,ComplianceQuest,"Compliance, Software","Tampa, Florida, United States",ComplianceQuest is a cloud-based Enterprise Quality and Safety Management System (QHSE) native on Salesforce.,"13,790","39,200",Active,—,www.compliancequest.com,View on Twitter,View on LinkedIn,"Atulya Risal, Govardhan Muralidhar, Prashanth Rajendran",Made Acquisitions,—
253,Darrow,"Data Integration, Database, Information Technology, Legal Tech","Tel Aviv, Tel Aviv, Israel",Darrow helps legal professionals discover violations and extract legal claims from a vast array of data.,"13,789","6,092",Active,—,darrow.ai/,—,View on LinkedIn,"Elad Spiegelman, Evyatar Ben Artzi, Gila Hayat",—,—
254,MPB,"Consumer, Content Creators, E-Commerce, E-Commerce Platforms, Photography","Brighton, East Sussex, United Kingdom",MPB is an online platform specializing in used photography and videography kit.,"13,884","2,994,126",Active,—,www.mpb.com,View on Twitter,View on LinkedIn,Matt Barker,—,—
255,Cuebiq,"Advertising, Analytics, Big Data, Business Intelligence, Location Based Services, Market Research, Retail Technology","Manhattan, New York, United States",Cuebiq provides location intelligence and measurement company.,"13,999","2,838",Active,—,www.cuebiq.com,View on Twitter,View on LinkedIn,"Antonio Tomarchio, Filippo Privitera, Walter Ferrara, William Nespoli",—,—
256,Mightier,"Gaming, Health Care, Video Games","Boston, Massachusetts, United States",Mightier is a gaming platform and family program scientifically-proven to help kids regulate their emotions.,"14,055","11,483",Active,—,www.mightier.com,View on Twitter,View on LinkedIn,"Craig Lund, Jason Kahn, Trevor Stricker",—,—
257,Contently,"Advertising, Analytics, Content, Content Creators, Content Marketing, Digital Media, Enterprise Software, SaaS","New York, New York, United States",Contently's enterprise content marketing platform (CMP) offers best-in-class SaaS paired with content strategy and creative marketplace.,"14,258","847,424",Active,—,contently.com,View on Twitter,View on LinkedIn,"David T. Goldberg, Joe Coleman, Shane Snow",Made Acquisitions,—
258,Ingresse,"Apps, Ticketing","São Paulo, Sao Paulo, Brazil","Ingresse is a social ticketing company that enables people to discover the latest concerts, nightclubs, parties, and theater plays.","14,442","1,435,063",Active,—,www.ingresse.com,View on Twitter,View on LinkedIn,"Gabriel Benarros, Marcelo Henrique, Sebastien Robaszkiewicz",Made Acquisitions,—
